Entity,CP
001,47129
002,47418
003,47814
004,47510
005,47238
006,47160
007,47162
008,47419
009,47177
010,47195
011,47210
012,47312
013,47674
014,47129
015,47670
016,47880
017,47115
018,47115
019,47813
020,47462
021,47419
022,47317
023,47151
024,47675
025,47461
026,47608
027,47260
028,47689
029,47832
030,47310
031,47460
032,47165
033,47311
034,47185
035,47470
036,47110
037,47512
038,47318
039,47329
040,47689
041,47192
042,47882
043,47641
044,47171
045,47520
046,47664
047,47182
048,47692
049,47494
050,47270
051,47191
052,47193
053,47440
054,47313
055,47280
056,47317
057,47290
058,47650
059,47316
060,47186
061,47176
062,47184
063,47311
064,47609
065,47480
066,47194
067,47494
068,47418
069,47134
070,47606
071,47131
073,47607
074,47238
075,47420
076,47140
077,47314
078,47418
079,47494
080,47314
081,47133
082,47230
083,47114
084,47680
085,47800
086,47400
087,47440
088,47687
089,47686
090,47250
091,47688
092,47816
093,47320
094,47691
095,47454
096,47811
097,47120
098,47194
099,47630
100,47219
101,47500
102,47464
103,47359
104,47410
105,47173
106,47318
109,47812
110,47328
111,47196
112,47430
113,47112
114,47300
115,47640
116,47315
117,47175
118,47316
119,47316
121,47116
122,47160
123,47450
124,47220
125,47831
126,47419
127,47360
128,47673
129,47350
130,47283
131,47319
132,47453
133,47170
134,47673
135,47131
137,47316
138,47494
139,47490
140,47689
141,47219
142,47129
143,47317
144,47209
145,47164
146,47132
147,47219
148,47851
149,47129
150,47530
151,47134
152,47811
153,47609
154,47331
155,47155
156,47493
157,47340
158,47491
159,47239
160,47511
161,47130
162,47815
163,47870
164,47830
165,47100
166,47114
167,47513
168,47129
169,47183
170,47319
171,47134
172,47313
173,47330
174,47282
175,47320
176,47670
177,47671
178,47862
179,47359
180,47317
181,47816
182,47240
183,47672
184,47200
185,47690
187,47609
188,47133
189,47463
190,47114
191,47131
192,47239
193,47150
194,47166
195,47329
196,47815
197,47820
198,47609
199,47607
200,47181
203,47606
204,47529
205,47810
206,47180
207,47840
208,47608
209,47675
210,47111
211,47689
212,47639
213,47113
214,47600
215,47814
216,47131
217,47620
218,47239
219,47608
220,47850
221,47174
222,47813
223,47860
224,47172
225,47134
226,47329
227,47883
228,47465
229,47676
230,47190
231,47610
232,47452
